Top pages,Clicks,Impressions,CTR,Position
https://www.starscoopdaily.site/about,1,4,25%,4.25
https://www.starscoopdaily.site/article/jennifer-lopez-ben-affleck-divorce-timeline,0,3,0%,16.33
https://www.starscoopdaily.site/disclaimer,0,2,0%,3
https://www.starscoopdaily.site/article/jennifer-lawrence-new-movie,0,2,0%,9.5
https://www.starscoopdaily.site/category/tv-shows,0,2,0%,9.5
https://www.starscoopdaily.site/article/netflix-new-celebrity-show,0,2,0%,10.5
https://www.starscoopdaily.site/article/selena-gomez-net-worth-2026,0,2,0%,12
https://www.starscoopdaily.site/article/sabrina-carpenter-secret-romance-exposed,0,2,0%,13
https://www.starscoopdaily.site/article/taylor-swift-travis-kelce-relationship-milestone,0,2,0%,15.5
https://www.starscoopdaily.site/article/stranger-things-season-5-everything-we-know,0,2,0%,16.5
https://www.starscoopdaily.site/article/prince-harry-and-meghan-markle-make-shocking-royal-exit,0,2,0%,17.5
https://www.starscoopdaily.site/article/spider-man-brand-new-day-everything-we-know-2026,0,2,0%,18.5
https://www.starscoopdaily.site/,0,1,0%,1
https://www.starscoopdaily.site/article/avengers-doomsday-cast-release-date-2026,0,1,0%,15
